Index,Label
1,Doing other things
3,Pushing Two Fingers Away
4,Swiping Right
5,Rolling Hand Backward
6,Drumming Fingers
7,Sliding Two Fingers Left
8,Turning Hand Counterclockwise
9,Swiping Right
10,Thumb Down
11,Sliding Two Fingers Down
12,Sliding Two Fingers Down
13,Sliding Two Fingers Down
14,Pushing Hand Away
16,Thumb Down
17,Shaking Hand
19,Pushing Two Fingers Away
20,Doing other things
22,Zooming In With Full Hand
23,Sliding Two Fingers Right
24,Turning Hand Clockwise
25,Thumb Up
26,Sliding Two Fingers Down
27,Rolling Hand Forward
28,Pulling Two Fingers In
29,Sliding Two Fingers Right
30,Swiping Down
31,Stop Sign
33,Doing other things
34,Zooming In With Two Fingers
35,Drumming Fingers
36,Sliding Two Fingers Up
37,Zooming Out With Two Fingers
38,Swiping Right
39,Sliding Two Fingers Left
40,Pushing Hand Away
41,Shaking Hand
42,Sliding Two Fingers Up
43,Stop Sign
44,Zooming In With Full Hand
45,Sliding Two Fingers Down
46,Zooming In With Full Hand
47,Swiping Right
48,Thumb Down
50,No gesture
51,Swiping Right
52,Zooming Out With Full Hand
54,Sliding Two Fingers Right
55,Thumb Down
56,Rolling Hand Forward
57,Doing other things
58,Zooming Out With Two Fingers
59,Stop Sign
60,Swiping Up
61,Rolling Hand Backward
62,Sliding Two Fingers Up
63,Swiping Left
65,Swiping Right
66,Zooming In With Two Fingers
67,Swiping Down
68,Shaking Hand
69,Sliding Two Fingers Up
70,No gesture
72,Pulling Two Fingers In
73,Pushing Hand Away
74,Zooming In With Two Fingers
75,Doing other things
76,Doing other things
77,Thumb Down
79,Pushing Hand Away
80,Doing other things
81,Rolling Hand Backward
83,Zooming Out With Two Fingers
85,Sliding Two Fingers Down
86,Thumb Up
87,Swiping Right
88,Zooming In With Full Hand
89,Sliding Two Fingers Up
90,Pushing Hand Away
91,Sliding Two Fingers Left
92,Pulling Two Fingers In
93,Sliding Two Fingers Down
94,Pulling Hand In
95,Swiping Right
96,Swiping Right
99,Pulling Hand In
100,Swiping Right
101,Thumb Up
102,Rolling Hand Backward
103,Zooming Out With Full Hand
104,Pulling Hand In
105,Stop Sign
106,Pulling Two Fingers In
107,Swiping Left
108,Sliding Two Fingers Up
109,Pushing Two Fingers Away
110,Zooming Out With Full Hand
111,Zooming In With Two Fingers
112,Doing other things
113,Pulling Hand In
114,No gesture
115,Swiping Right
116,Pulling Hand In
118,Doing other things
119,Pulling Two Fingers In
120,Thumb Up
121,Sliding Two Fingers Down
122,Turning Hand Counterclockwise
123,Doing other things
124,Turning Hand Counterclockwise
125,Doing other things
127,Shaking Hand
128,Sliding Two Fingers Left
129,Turning Hand Counterclockwise
130,Zooming In With Two Fingers
132,Drumming Fingers
133,Rolling Hand Backward
134,Swiping Left
135,Doing other things
137,Shaking Hand
138,Pushing Two Fingers Away
139,Pulling Two Fingers In
141,Stop Sign
142,Doing other things
143,Swiping Down
144,Doing other things
145,Stop Sign
146,Pulling Two Fingers In
147,Pushing Hand Away
149,Swiping Right
150,Zooming Out With Full Hand
151,Turning Hand Counterclockwise
152,Pulling Hand In
153,Doing other things
154,Zooming In With Two Fingers
155,Rolling Hand Forward
156,Drumming Fingers
157,Swiping Up
159,Stop Sign
160,Thumb Down
161,No gesture
162,Swiping Left
163,Zooming Out With Full Hand
164,Turning Hand Counterclockwise
165,Zooming Out With Full Hand
166,Shaking Hand
167,Zooming In With Full Hand
168,Drumming Fingers
169,Swiping Left
170,No gesture
171,Zooming In With Full Hand
172,Doing other things
173,Stop Sign
174,Swiping Left
175,Turning Hand Clockwise
176,Sliding Two Fingers Left
177,Thumb Down
178,Rolling Hand Forward
179,Turning Hand Counterclockwise
180,Sliding Two Fingers Up
181,Sliding Two Fingers Down
182,Turning Hand Counterclockwise
184,Sliding Two Fingers Down
185,Shaking Hand
186,Pulling Hand In
187,Doing other things
188,Zooming Out With Two Fingers
189,Pushing Two Fingers Away
191,Zooming Out With Full Hand
192,No gesture
193,Thumb Down
194,Zooming In With Full Hand
195,Zooming Out With Two Fingers
196,Swiping Down
197,Zooming In With Full Hand
198,Swiping Down
200,Sliding Two Fingers Down
201,Rolling Hand Backward
202,Thumb Down
203,Doing other things
204,Pulling Two Fingers In
205,Pulling Hand In
206,Thumb Down
207,Stop Sign
208,Pulling Two Fingers In
209,Turning Hand Counterclockwise
210,Swiping Down
211,Rolling Hand Backward
212,Rolling Hand Forward
213,Sliding Two Fingers Up
214,Shaking Hand
215,Rolling Hand Forward
216,No gesture
217,Swiping Up
218,Turning Hand Counterclockwise
219,Turning Hand Counterclockwise
220,No gesture
222,Turning Hand Clockwise
223,Sliding Two Fingers Up
224,Zooming Out With Two Fingers
225,Swiping Left
226,Drumming Fingers
227,Zooming Out With Two Fingers
228,Doing other things
229,Shaking Hand
230,Swiping Down
232,Swiping Up
233,Drumming Fingers
234,Stop Sign
235,Pulling Hand In
236,No gesture
237,Pulling Hand In
238,Zooming In With Two Fingers
239,Zooming In With Two Fingers
240,Zooming Out With Two Fingers
241,Rolling Hand Backward
242,Sliding Two Fingers Up
243,Pushing Two Fingers Away
244,Pulling Hand In
245,Swiping Right
246,Zooming Out With Two Fingers
247,Zooming In With Two Fingers
248,Swiping Down
249,Zooming Out With Two Fingers
250,Swiping Up
251,Pulling Hand In
252,Pulling Hand In
253,Swiping Down
254,Swiping Left
255,Zooming In With Two Fingers
256,Doing other things
257,Sliding Two Fingers Up
258,Pushing Two Fingers Away
259,Sliding Two Fingers Left
260,Sliding Two Fingers Right
261,Zooming Out With Full Hand
262,Zooming In With Two Fingers
263,Shaking Hand
264,Shaking Hand
265,Turning Hand Counterclockwise
266,Doing other things
267,Zooming Out With Two Fingers
268,Thumb Down
270,Pulling Two Fingers In
272,Drumming Fingers
273,Zooming In With Two Fingers
274,Doing other things
275,Pushing Two Fingers Away
276,Pulling Hand In
277,Doing other things
278,Sliding Two Fingers Down
279,Drumming Fingers
280,Sliding Two Fingers Up
282,Zooming Out With Two Fingers
283,Doing other things
284,Swiping Up
285,Doing other things
286,Sliding Two Fingers Right
287,Pulling Hand In
288,Zooming Out With Two Fingers
289,Thumb Down
290,Turning Hand Counterclockwise
292,Zooming Out With Two Fingers
293,Sliding Two Fingers Right
294,Drumming Fingers
295,Doing other things
296,Rolling Hand Forward
297,Swiping Right
298,Swiping Right
299,Drumming Fingers
301,Rolling Hand Forward
302,Zooming Out With Full Hand
303,Pulling Two Fingers In
304,Thumb Down
305,Doing other things
306,Rolling Hand Backward
307,Sliding Two Fingers Down
308,Doing other things
309,Shaking Hand
310,Thumb Up
312,Pushing Two Fingers Away
314,No gesture
315,Shaking Hand
316,Rolling Hand Forward
317,Sliding Two Fingers Left
318,Pushing Two Fingers Away
319,Stop Sign
320,Sliding Two Fingers Up
321,Pulling Hand In
322,Zooming In With Two Fingers
323,Thumb Down
324,Swiping Left
325,Sliding Two Fingers Down
326,Turning Hand Clockwise
327,Swiping Left
328,Zooming Out With Two Fingers
329,Swiping Right
330,Sliding Two Fingers Down
331,Thumb Down
332,Sliding Two Fingers Right
333,Rolling Hand Forward
334,Pulling Two Fingers In
336,Swiping Up
337,Zooming Out With Full Hand
338,Thumb Down
339,Pushing Two Fingers Away
340,Drumming Fingers
342,Thumb Down
343,Swiping Right
344,Sliding Two Fingers Left
345,Sliding Two Fingers Down
346,Pushing Hand Away
347,Pulling Hand In
348,Pushing Hand Away
349,Zooming In With Full Hand
350,Doing other things
351,Swiping Right
352,Pushing Hand Away
353,Zooming Out With Full Hand
354,Sliding Two Fingers Right
355,Swiping Down
357,Pushing Hand Away
358,No gesture
359,Drumming Fingers
360,Drumming Fingers
361,Pushing Hand Away
362,Sliding Two Fingers Right
365,Zooming In With Full Hand
366,Swiping Left
367,Zooming Out With Full Hand
368,Pulling Two Fingers In
369,Swiping Right
370,Doing other things
371,Pulling Two Fingers In
372,Stop Sign
373,Swiping Right
374,Drumming Fingers
376,Rolling Hand Backward
377,Turning Hand Counterclockwise
378,Sliding Two Fingers Up
379,Rolling Hand Backward
380,Drumming Fingers
381,Thumb Up
382,Turning Hand Clockwise
383,Sliding Two Fingers Left
384,Zooming Out With Full Hand
385,No gesture
386,Swiping Left
387,Turning Hand Counterclockwise
388,Zooming In With Two Fingers
389,Rolling Hand Forward
391,Zooming In With Two Fingers
392,Zooming In With Full Hand
394,Sliding Two Fingers Left
395,Sliding Two Fingers Up
396,Zooming In With Two Fingers
398,Pulling Two Fingers In
399,Turning Hand Clockwise
400,Turning Hand Clockwise
402,Swiping Down
403,Zooming In With Two Fingers
405,Rolling Hand Backward
406,Rolling Hand Forward
407,No gesture
408,Rolling Hand Backward
409,Zooming In With Full Hand
410,Zooming In With Full Hand
411,Zooming In With Two Fingers
412,No gesture
413,Swiping Down
414,Pulling Two Fingers In
415,Doing other things
416,Sliding Two Fingers Up
417,Shaking Hand
418,Drumming Fingers
419,Zooming In With Two Fingers
420,Thumb Up
421,Shaking Hand
422,Swiping Up
423,Pushing Two Fingers Away
424,Swiping Right
425,Rolling Hand Forward
427,Shaking Hand
428,No gesture
429,Swiping Left
430,Shaking Hand
431,Zooming Out With Two Fingers
432,Turning Hand Clockwise
433,Zooming Out With Full Hand
434,Thumb Down
435,Thumb Up
436,Rolling Hand Backward
437,Turning Hand Clockwise
