,Index,Label
1,11317,Sliding Two Fingers Right
3,66464,Sliding Two Fingers Left
4,12721,Sliding Two Fingers Down
7,23138,Turning Hand Counterclockwise
29,77315,Sliding Two Fingers Left
30,137769,Pushing Two Fingers Away
31,142853,Shaking Hand
33,16155,Pulling Hand In
35,142092,Turning Hand Counterclockwise
36,92863,No gesture
40,3961,Shaking Hand
45,77656,Turning Hand Counterclockwise
49,97039,Pushing Two Fingers Away
52,146885,Sliding Two Fingers Left
57,126225,Shaking Hand
59,54306,Sliding Two Fingers Right
60,135950,No gesture
61,44691,No gesture
66,120824,Sliding Two Fingers Down
67,96854,Rolling Hand Forward
70,34070,Pulling Hand In
71,31104,Pulling Hand In
73,84396,Rolling Hand Forward
77,24796,Thumb Up
82,144076,Turning Hand Counterclockwise
83,109616,Thumb Up
84,139293,No gesture
85,33320,Pushing Two Fingers Away
93,105571,Sliding Two Fingers Right
97,115616,No gesture
99,89029,Turning Hand Counterclockwise
103,121517,No gesture
111,89829,Pulling Hand In
112,140254,Turning Hand Counterclockwise
113,116931,Shaking Hand
114,107822,Shaking Hand
115,115928,Sliding Two Fingers Down
117,8260,Shaking Hand
124,144960,No gesture
125,28931,Turning Hand Counterclockwise
130,67974,Thumb Up
134,604,Thumb Up
142,46038,No gesture
150,954,Pushing Two Fingers Away
154,53573,Thumb Up
158,73614,Rolling Hand Forward
159,48092,Sliding Two Fingers Down
161,142718,Turning Hand Counterclockwise
172,82255,Rolling Hand Forward
173,127821,Shaking Hand
175,116470,Turning Hand Counterclockwise
176,9265,No gesture
177,97949,Sliding Two Fingers Down
181,17571,Turning Hand Counterclockwise
183,64981,Thumb Up
186,112807,Pushing Two Fingers Away
187,69532,Thumb Up
189,90362,Sliding Two Fingers Left
190,27117,Shaking Hand
191,71243,Pulling Hand In
194,1887,Sliding Two Fingers Left
198,125977,Thumb Up
200,72450,Thumb Up
202,60522,Shaking Hand
204,80340,Sliding Two Fingers Right
205,11543,Pulling Hand In
207,21253,Pushing Two Fingers Away
209,33354,No gesture
210,109925,Turning Hand Counterclockwise
214,57421,Pushing Two Fingers Away
215,75371,Sliding Two Fingers Down
216,80759,Turning Hand Counterclockwise
220,137036,Turning Hand Counterclockwise
221,98116,Shaking Hand
222,104736,Thumb Up
223,18212,Sliding Two Fingers Down
225,27807,Pulling Hand In
229,45837,No gesture
232,78719,Rolling Hand Forward
240,123413,Thumb Up
242,17608,Rolling Hand Forward
249,28716,Pushing Two Fingers Away
250,141458,Shaking Hand
254,75373,No gesture
259,42722,Pushing Two Fingers Away
262,55315,No gesture
270,61737,Sliding Two Fingers Right
274,9706,Turning Hand Counterclockwise
280,123753,Rolling Hand Forward
282,41664,Thumb Up
285,76508,Sliding Two Fingers Down
291,23415,Turning Hand Counterclockwise
293,86692,Pulling Hand In
294,12925,No gesture
295,23223,Thumb Up
296,58907,Pulling Hand In
300,82897,Turning Hand Counterclockwise
301,84215,Rolling Hand Forward
304,97249,Pulling Hand In
305,1766,Shaking Hand
308,59119,Sliding Two Fingers Down
323,129661,Sliding Two Fingers Left
324,103063,Sliding Two Fingers Right
326,75751,Sliding Two Fingers Right
327,78132,Turning Hand Counterclockwise
330,29761,Pulling Hand In
333,74294,Rolling Hand Forward
336,63234,Thumb Up
341,37443,Pushing Two Fingers Away
342,20857,Turning Hand Counterclockwise
345,90221,Sliding Two Fingers Right
346,74430,Sliding Two Fingers Left
347,139106,Turning Hand Counterclockwise
349,19936,Turning Hand Counterclockwise
350,49919,Sliding Two Fingers Left
351,48561,No gesture
352,33121,Pulling Hand In
353,41289,Sliding Two Fingers Down
355,125820,Shaking Hand
356,93965,Thumb Up
360,124870,Sliding Two Fingers Down
361,28420,Pulling Hand In
363,81140,Sliding Two Fingers Left
364,24949,Pulling Hand In
371,129895,Sliding Two Fingers Down
376,141036,Sliding Two Fingers Down
382,9388,Rolling Hand Forward
384,138705,Pulling Hand In
385,93888,Rolling Hand Forward
386,76285,Pushing Two Fingers Away
388,952,No gesture
393,125207,Turning Hand Counterclockwise
394,25523,No gesture
395,46327,Sliding Two Fingers Right
397,13480,Sliding Two Fingers Right
398,19378,Pulling Hand In
405,37566,Sliding Two Fingers Down
406,78110,Rolling Hand Forward
408,90021,No gesture
411,52638,Sliding Two Fingers Right
412,44488,Sliding Two Fingers Right
417,62093,Rolling Hand Forward
418,79459,Shaking Hand
420,137423,Sliding Two Fingers Left
422,52265,Turning Hand Counterclockwise
427,80786,Turning Hand Counterclockwise
430,4805,Sliding Two Fingers Down
433,90984,Thumb Up
434,4486,Sliding Two Fingers Right
436,8224,Thumb Up
439,141852,Rolling Hand Forward
440,102560,Shaking Hand
441,6565,No gesture
444,94444,No gesture
445,114287,Sliding Two Fingers Left
452,25372,Thumb Up
454,37234,Turning Hand Counterclockwise
455,69651,Rolling Hand Forward
461,80254,Pushing Two Fingers Away
467,127222,Turning Hand Counterclockwise
474,61633,Pulling Hand In
477,102606,Pulling Hand In
479,20240,Sliding Two Fingers Left
482,83379,Pulling Hand In
496,81422,Sliding Two Fingers Down
497,19551,Sliding Two Fingers Left
501,102794,Shaking Hand
502,16202,Pulling Hand In
503,96995,Sliding Two Fingers Left
505,118599,Pushing Two Fingers Away
510,89926,No gesture
513,10016,Turning Hand Counterclockwise
526,30404,Turning Hand Counterclockwise
532,90530,Pushing Two Fingers Away
541,25326,Thumb Up
542,76935,Sliding Two Fingers Down
544,42876,No gesture
551,40740,Sliding Two Fingers Right
555,134783,Pulling Hand In
559,81127,Sliding Two Fingers Left
563,78400,Sliding Two Fingers Left
566,4327,No gesture
568,64135,Sliding Two Fingers Down
575,60253,Pulling Hand In
577,6022,No gesture
578,118027,Sliding Two Fingers Right
580,44661,Pulling Hand In
581,102786,Pulling Hand In
583,74201,Pushing Two Fingers Away
587,116605,Shaking Hand
588,35158,Pulling Hand In
590,96483,Pushing Two Fingers Away
591,48671,Pushing Two Fingers Away
594,38649,Pushing Two Fingers Away
595,13021,Sliding Two Fingers Down
598,28746,Sliding Two Fingers Down
600,50083,No gesture
602,25952,Turning Hand Counterclockwise
605,97837,Shaking Hand
608,59346,No gesture
609,54438,Thumb Up
617,85157,Thumb Up
629,6798,Turning Hand Counterclockwise
632,124863,No gesture
637,99526,Sliding Two Fingers Down
646,89413,Thumb Up
649,42689,Thumb Up
652,95636,Rolling Hand Forward
656,33022,Thumb Up
661,139281,Sliding Two Fingers Left
663,114863,Pushing Two Fingers Away
667,82808,Pushing Two Fingers Away
670,83920,Sliding Two Fingers Left
671,60533,Pulling Hand In
675,945,Turning Hand Counterclockwise
677,121105,Shaking Hand
679,8604,Shaking Hand
681,60471,Turning Hand Counterclockwise
683,141861,Pushing Two Fingers Away
686,123999,Sliding Two Fingers Down
691,124710,Sliding Two Fingers Right
692,88811,Sliding Two Fingers Right
694,49276,No gesture
700,54204,Sliding Two Fingers Right
713,69123,Thumb Up
715,146975,Shaking Hand
718,103217,Pushing Two Fingers Away
719,102528,Thumb Up
720,51054,Pulling Hand In
722,60728,No gesture
725,128649,Turning Hand Counterclockwise
728,79442,Rolling Hand Forward
729,70257,Sliding Two Fingers Down
736,47208,Rolling Hand Forward
737,17283,Sliding Two Fingers Right
741,122990,Pulling Hand In
745,53309,Sliding Two Fingers Right
750,135811,Pushing Two Fingers Away
752,33515,Thumb Up
763,71080,Shaking Hand
775,112155,Pushing Two Fingers Away
776,6515,Rolling Hand Forward
780,85605,Pushing Two Fingers Away
783,44972,Shaking Hand
786,55257,Turning Hand Counterclockwise
787,128439,Sliding Two Fingers Left
788,7458,Pulling Hand In
789,80080,Pulling Hand In
794,97916,No gesture
795,29321,Sliding Two Fingers Left
800,95275,Sliding Two Fingers Right
804,82180,Pushing Two Fingers Away
816,16999,Pushing Two Fingers Away
819,39965,Rolling Hand Forward
823,53790,Sliding Two Fingers Right
834,102033,Turning Hand Counterclockwise
835,52249,No gesture
837,126307,Pulling Hand In
838,13833,Turning Hand Counterclockwise
845,31472,Rolling Hand Forward
847,107399,Sliding Two Fingers Right
848,11722,Pushing Two Fingers Away
850,82123,Sliding Two Fingers Left
852,66385,Pulling Hand In
854,86239,Turning Hand Counterclockwise
859,35936,Turning Hand Counterclockwise
868,131301,Pushing Two Fingers Away
871,134852,Sliding Two Fingers Right
880,19082,Pushing Two Fingers Away
887,131124,No gesture
893,91302,Sliding Two Fingers Right
895,39720,Turning Hand Counterclockwise
900,56437,Shaking Hand
903,24572,Pulling Hand In
911,28424,Thumb Up
914,113638,Pushing Two Fingers Away
918,57281,Rolling Hand Forward
923,104943,Sliding Two Fingers Right
925,114584,Rolling Hand Forward
927,147965,Sliding Two Fingers Left
929,71297,Shaking Hand
932,56658,Thumb Up
934,131014,Pulling Hand In
935,60032,Thumb Up
940,132750,Sliding Two Fingers Right
941,54636,Thumb Up
942,71365,Sliding Two Fingers Left
944,13615,Sliding Two Fingers Left
948,121048,Sliding Two Fingers Down
951,104009,Turning Hand Counterclockwise
955,81120,Sliding Two Fingers Left
956,142838,Turning Hand Counterclockwise
959,36122,No gesture
960,140068,Shaking Hand
963,64743,Shaking Hand
964,118171,Shaking Hand
970,63349,Pushing Two Fingers Away
972,129804,Sliding Two Fingers Down
977,30523,No gesture
981,21847,Shaking Hand
982,24886,Thumb Up
983,146515,No gesture
984,128398,Thumb Up
987,109156,Rolling Hand Forward
996,33271,Sliding Two Fingers Left
1000,77229,Pushing Two Fingers Away
1002,134171,Sliding Two Fingers Right
1004,84280,No gesture
1008,13669,Sliding Two Fingers Right
1010,47817,Sliding Two Fingers Left
1011,125901,Thumb Up
1012,33881,Sliding Two Fingers Right
1013,3933,Sliding Two Fingers Left
1016,79509,Sliding Two Fingers Left
1021,41309,Pushing Two Fingers Away
1023,101244,Turning Hand Counterclockwise
1027,76941,Sliding Two Fingers Left
1029,126389,Shaking Hand
1031,97089,Sliding Two Fingers Down
1033,58934,Sliding Two Fingers Right
1035,120472,No gesture
1036,84896,Thumb Up
1038,131659,Sliding Two Fingers Left
1040,7582,Turning Hand Counterclockwise
1041,32470,Shaking Hand
1042,48208,Sliding Two Fingers Left
1044,55675,Turning Hand Counterclockwise
1045,88892,Pulling Hand In
1047,51954,Sliding Two Fingers Right
1048,86670,Shaking Hand
1051,132033,Shaking Hand
1055,90144,Sliding Two Fingers Right
1057,114866,Sliding Two Fingers Down
1059,139522,Sliding Two Fingers Down
1060,10458,Rolling Hand Forward
1063,17302,Pulling Hand In
1071,13220,Thumb Up
1073,43838,Sliding Two Fingers Left
1076,86708,Rolling Hand Forward
1077,10684,Sliding Two Fingers Down
1078,139252,Pulling Hand In
1082,57960,Sliding Two Fingers Down
1083,132667,Pulling Hand In
1087,65024,Pushing Two Fingers Away
1092,46658,No gesture
1093,123320,Pushing Two Fingers Away
1095,32132,Sliding Two Fingers Down
1097,140234,Pushing Two Fingers Away
1098,69283,Pushing Two Fingers Away
1099,71298,Pushing Two Fingers Away
1101,98220,Sliding Two Fingers Down
1109,132899,Pulling Hand In
1116,36927,Sliding Two Fingers Left
1119,44987,Shaking Hand
1121,85759,Pulling Hand In
1122,27428,Thumb Up
1128,45632,Pulling Hand In
1130,87122,Sliding Two Fingers Right
1132,138932,Thumb Up
1134,126527,Thumb Up
1143,111984,Thumb Up
1146,94373,Shaking Hand
1152,93901,Sliding Two Fingers Left
1155,80861,Pushing Two Fingers Away
1156,129301,Pushing Two Fingers Away
1158,92388,No gesture
1161,109087,Pulling Hand In
1163,75452,Sliding Two Fingers Left
1168,99038,Rolling Hand Forward
1170,9268,Shaking Hand
1172,2672,Sliding Two Fingers Right
1174,132634,Sliding Two Fingers Right
1175,143777,Sliding Two Fingers Down
1177,113300,Pushing Two Fingers Away
1179,71514,No gesture
1180,22068,Rolling Hand Forward
1182,77454,Shaking Hand
1184,115017,Sliding Two Fingers Down
1186,84655,Sliding Two Fingers Down
1189,109660,No gesture
1191,104492,Pushing Two Fingers Away
1192,42782,Sliding Two Fingers Down
1197,80378,Pushing Two Fingers Away
1198,90396,Shaking Hand
1200,125663,Sliding Two Fingers Right
1205,69105,Pushing Two Fingers Away
1210,136447,No gesture
1211,8528,Rolling Hand Forward
1212,65496,Sliding Two Fingers Down
1216,129079,Pulling Hand In
1220,61850,Pulling Hand In
1225,85714,Shaking Hand
1226,134139,Turning Hand Counterclockwise
1230,78202,Shaking Hand
1233,17170,Pushing Two Fingers Away
1236,122553,Sliding Two Fingers Left
1246,86876,Pushing Two Fingers Away
1250,63053,Sliding Two Fingers Right
1252,13356,No gesture
1259,27582,Shaking Hand
1260,136053,Sliding Two Fingers Left
1261,54898,Rolling Hand Forward
1264,80160,Sliding Two Fingers Down
1265,29954,Thumb Up
1266,147715,Sliding Two Fingers Down
1270,135053,Sliding Two Fingers Down
1271,138287,Pushing Two Fingers Away
1272,21810,Rolling Hand Forward
1275,21705,Sliding Two Fingers Down
1277,80845,Pulling Hand In
1280,102815,Thumb Up
